# 
# Header Description:
# 
# Version: v3.0.6.4 Platform: 13 Manufacturer: samsung Model: SM-A715F
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
# 
# Accel,utcTimeMillis,elapsedRealtimeNanos,AccelXMps2,AccelYMps2,AccelZMps2
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
# 
# Gyro,utcTimeMillis,elapsedRealtimeNanos,GyroXRadPerSec,GyroYRadPerSec,GyroZRadPerSec
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT
# 
# Mag,utcTimeMillis,elapsedRealtimeNanos,MagXMicroT,MagYMicroT,MagZMicroT
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
# 
Fix,FLP,36.6351443000,29.0834732000,252.37579345703125,1.2273191,4.925,233.38489,1712570331464,0.086023256,45.0,6804130980373,4.0,0,,,
Status,,37,0,1,5,1575420030,45.30,108.0,24.0,1,1,1,40.3
Status,,37,1,1,11,1575420030,39.70,42.0,20.0,1,1,1,34.7
Status,,37,2,1,12,1575420030,39.40,109.0,42.0,1,1,1,34.4
Status,,37,3,1,18,1575420030,37.00,203.0,30.0,1,1,1,32.0
Status,,37,4,1,20,1575420030,43.90,71.0,25.0,1,1,1,38.9
Status,,37,5,1,25,1575420030,38.40,91.0,74.0,1,1,1,33.4
Status,,37,6,1,26,1575420030,39.20,307.0,4.0,1,1,0,34.2
Status,,37,7,1,28,1575420030,39.00,285.0,41.0,1,1,1,34.0
Status,,37,8,1,29,1575420030,34.00,313.0,65.0,1,1,1,29.0
Status,,37,9,1,31,1575420030,38.60,310.0,22.0,1,1,1,33.6
Status,,37,10,3,10,1602000000,32.90,329.0,61.0,1,1,1,27.9
Status,,37,11,3,9,1602000000,27.40,143.0,67.0,1,1,0,22.4
Status,,37,12,3,16,1602000000,34.30,144.0,11.0,1,1,1,29.3
Status,,37,13,3,11,1602000000,35.90,326.0,8.0,1,1,0,30.9
Status,,37,14,3,20,1602000000,23.00,257.0,70.0,0,1,0,18.0
Status,,37,15,3,19,1602000000,27.30,28.0,35.0,1,1,0,22.3
Status,,37,16,3,21,1602000000,32.30,226.0,15.0,1,1,1,27.3
Status,,37,17,5,2,1561097980,30.20,112.0,18.0,0,1,0,25.2
Status,,37,18,5,5,1561097980,40.30,136.0,36.0,1,1,0,35.3
Status,,37,19,5,8,1561097980,42.40,64.0,36.0,1,1,1,37.4
Status,,37,20,5,10,1561097980,29.50,87.0,14.0,1,1,0,24.5
Status,,37,21,5,13,1561097980,47.60,81.0,40.0,1,1,1,42.6
Status,,37,22,5,27,1561097980,42.50,39.0,56.0,1,1,1,37.5
Status,,37,23,5,29,1561097980,36.70,239.0,11.0,0,1,0,31.7
Status,,37,24,5,30,1561097980,47.00,260.0,63.0,1,1,1,42.0
Status,,37,25,5,7,1561097980,0.00,0.0,0.0,0,1,0,0.0
Status,,37,26,5,28,1561097980,0.00,50.0,11.0,0,1,0,0.0
Status,,37,27,2,136,1575420030,39.30,0.0,0.0,0,0,0,34.3
Status,,37,28,6,2,1575420030,42.60,313.0,38.0,1,1,0,37.6
Status,,37,29,6,8,1575420030,38.00,281.0,1.0,0,1,1,33.0
Status,,37,30,6,10,1575420030,40.80,45.0,41.0,1,1,0,35.8
Status,,37,31,6,11,1575420030,27.90,68.0,68.0,0,1,1,22.9
Status,,37,32,6,12,1575420030,30.80,39.0,17.0,0,1,0,25.8
Status,,37,33,6,24,1575420030,40.00,116.0,28.0,1,1,0,35.0
Status,,37,34,6,25,1575420030,36.60,57.0,77.0,1,1,0,31.6
Status,,37,35,6,34,1575420030,27.30,209.0,2.0,0,1,0,22.3
Status,,37,36,6,36,1575420030,47.00,195.0,50.0,1,1,0,42.0
